Fund,Pledged,Paid,Outstanding,Records,Dec 2025 MOU,May 2026 Notice
Sudan,200000000,200000000,0,1,True,True
Ukraine,155000000,155000000,0,1,True,True
DRC,375000000,150000000,225000000,2,True,True
Bangladesh (AP-RHPF),150000000,150000000,0,1,True,True
Syria,150000000,150000000,0,1,True,True
Myanmar,140000000,140000000,0,1,True,True
Haiti (RhPF-LAC),125000000,125000000,0,1,True,True
Nigeria,125000000,125000000,0,1,True,True
South Sudan,150000000,100000000,50000000,2,True,True
Chad (RhPF-WCA),100000000,100000000,0,1,True,True
Colombia (RhPF-LAC),100000000,100000000,0,1,False,True
Ethiopia,100000000,100000000,0,1,True,True
Mozambique (RhPF),80000000,80000000,0,1,True,True
Uganda (ESAHF),150000000,75000000,75000000,2,True,True
Honduras (RhPF-LAC),65000000,65000000,0,1,True,True
Guatemala (RhPF-LAC),60000000,60000000,0,1,True,True
CERF,100000000,50000000,50000000,2,True,True
Kenya (ESAHF),50000000,50000000,0,1,True,True
El Salvador (RhPF-LAC),25000000,25000000,0,1,True,True
Central African Republic,0,0,0,0,False,True
Lebanon,0,0,0,0,False,True
Venezuela,0,0,0,0,False,True
